rule_id,API_norm_MF,S_t_MF,SMI_t_MF,Pt_MF,delta_WL_t_MF,rule_output_constant
240,0,1,4,3,0,[0.11251078 0.63217175 0.28451735 0.51312554 0.6209448  1.1162452 ]
241,0,1,4,3,1,[-0.0249      0.4448122   0.46295768  0.59850025  0.32441527  1.0504942 ]
242,0,1,4,3,2,[ 0.04489148 -0.0534417  -0.09734289  0.31644765  0.50544626  0.10761693]
243,0,1,4,3,3,[-0.08712642  0.40519747  0.5915956   0.64625144  0.16948554  1.0888392 ]
244,0,1,4,3,4,[0.07095489 0.29629454 0.03193014 0.29235846 0.44188726 0.51926327]
245,0,1,4,4,0,[-0.21850066  0.58895594  0.14469299  0.44258368  0.47836223  1.0026748 ]
246,0,1,4,4,1,[-0.5294817   0.13852647  0.40937135  0.53480077 -0.07572262  0.71810174]
247,0,1,4,4,2,[-0.2042545  -0.35908595 -0.43566474  0.20705968  0.38924223 -0.42496634]
248,0,1,4,4,3,[-0.6724833  -0.00417995  0.61408     0.59557384 -0.35402134  0.6951204 ]
249,0,1,4,4,4,[-0.12234399  0.25668547 -0.16734506  0.21939781  0.3596123   0.35864118]
250,0,2,0,0,0,[-0.16960491  0.84240705  0.21575513  0.43250614  0.62348664  1.0395743 ]
251,0,2,0,0,1,[-0.45734927  0.37503016  0.36033675  0.5419963   0.01131368  0.591194  ]
252,0,2,0,0,2,[-0.24058379 -0.2122019  -0.17416729  0.14983876  0.52120024 -0.2542209 ]
253,0,2,0,0,3,[-0.5683678   0.24021031  0.47425422  0.6180045  -0.29443786  0.486248  ]
254,0,2,0,0,4,[-0.11251784  0.4264977  -0.02892443  0.18922736  0.50409913  0.48149997]
255,0,2,0,1,0,[-0.29119065  0.688445    0.04304786  0.23420374  0.14521584  0.79319453]
256,0,2,0,1,1,[-0.7155364  -0.09375935  0.16290578  0.29009306 -0.5599429  -0.00465203]
257,0,2,0,1,2,[-0.1835032  -0.05950469 -0.31557098  0.05429331  0.17957094 -0.15786685]
258,0,2,0,1,3,[-0.9123341  -0.43030173  0.26546502  0.3340153  -0.9143813  -0.33444297]
